Gender,Age,Annual Income (k$),Spending Score (1-100),Segment
Male,19,15,39,Young Impulsive Shoppers
Male,21,15,81,Young Impulsive Shoppers
Female,20,16,6,Low-Income Low Spenders
Female,23,16,77,Young Impulsive Shoppers
Female,31,17,40,Low-Income Low Spenders
Female,22,17,76,Young Impulsive Shoppers
Female,35,18,6,Low-Income Low Spenders
Female,23,18,94,Young Impulsive Shoppers
Male,64,19,3,Low-Income Low Spenders
Female,30,19,72,Young Impulsive Shoppers
Male,67,19,14,Low-Income Low Spenders
Female,35,19,99,Young Impulsive Shoppers
Female,58,20,15,Low-Income Low Spenders
Female,24,20,77,Young Impulsive Shoppers
Male,37,20,13,Low-Income Low Spenders
Male,22,20,79,Young Impulsive Shoppers
Female,35,21,35,Low-Income Low Spenders
Male,20,21,66,Young Impulsive Shoppers
Male,52,23,29,Low-Income Low Spenders
Female,35,23,98,Young Impulsive Shoppers
Male,35,24,35,Low-Income Low Spenders
Male,25,24,73,Young Impulsive Shoppers
Female,46,25,5,Low-Income Low Spenders
Male,31,25,73,Young Impulsive Shoppers
Female,54,28,14,Low-Income Low Spenders
Male,29,28,82,Young Impulsive Shoppers
Female,45,28,32,Low-Income Low Spenders
Male,35,28,61,Young Impulsive Shoppers
Female,40,29,31,Low-Income Low Spenders
Female,23,29,87,Young Impulsive Shoppers
Male,60,30,4,Low-Income Low Spenders
Female,21,30,73,Young Impulsive Shoppers
Male,53,33,4,Low-Income Low Spenders
Male,18,33,92,Young Impulsive Shoppers
Female,49,33,14,Low-Income Low Spenders
Female,21,33,81,Young Impulsive Shoppers
Female,42,34,17,Low-Income Low Spenders
Female,30,34,73,Young Impulsive Shoppers
Female,36,37,26,Low-Income Low Spenders
Female,20,37,75,Young Impulsive Shoppers
Female,65,38,35,Mature Moderate Spenders
Male,24,38,92,Young Impulsive Shoppers
Male,48,39,36,Low-Income Low Spenders
Female,31,39,61,Young Impulsive Shoppers
Female,49,39,28,Low-Income Low Spenders
Female,24,39,65,Young Impulsive Shoppers
Female,50,40,55,Mature Moderate Spenders
Female,27,40,47,Young Average Spenders
Female,29,40,42,Young Average Spenders
Female,31,40,42,Young Average Spenders
Female,49,42,52,Mature Moderate Spenders
Male,33,42,60,Young Impulsive Shoppers
Female,31,43,54,Young Average Spenders
Male,59,43,60,Mature Moderate Spenders
Female,50,43,45,Mature Moderate Spenders
Male,47,43,41,Mature Moderate Spenders
Female,51,44,50,Mature Moderate Spenders
Male,69,44,46,Mature Moderate Spenders
Female,27,46,51,Young Average Spenders
Male,53,46,46,Mature Moderate Spenders
Male,70,46,56,Mature Moderate Spenders
Male,19,46,55,Young Average Spenders
Female,67,47,52,Mature Moderate Spenders
Female,54,47,59,Mature Moderate Spenders
Male,63,48,51,Mature Moderate Spenders
Male,18,48,59,Young Average Spenders
Female,43,48,50,Mature Moderate Spenders
Female,68,48,48,Mature Moderate Spenders
Male,19,48,59,Young Average Spenders
Female,32,48,47,Young Average Spenders
Male,70,49,55,Mature Moderate Spenders
Female,47,49,42,Mature Moderate Spenders
Female,60,50,49,Mature Moderate Spenders
Female,60,50,56,Mature Moderate Spenders
Male,59,54,47,Mature Moderate Spenders
Male,26,54,54,Young Average Spenders
Female,45,54,53,Mature Moderate Spenders
Male,40,54,48,Young Average Spenders
Female,23,54,52,Young Average Spenders
Female,49,54,42,Mature Moderate Spenders
Male,57,54,51,Mature Moderate Spenders
Male,38,54,55,Young Average Spenders
Male,67,54,41,Mature Moderate Spenders
Female,46,54,44,Mature Moderate Spenders
Female,21,54,57,Young Average Spenders
Male,48,54,46,Mature Moderate Spenders
Female,55,57,58,Mature Moderate Spenders
Female,22,57,55,Young Average Spenders
Female,34,58,60,Young Average Spenders
Female,50,58,46,Mature Moderate Spenders
Female,68,59,55,Mature Moderate Spenders
Male,18,59,41,Young Average Spenders
Male,48,60,49,Mature Moderate Spenders
Female,40,60,40,Young Average Spenders
Female,32,60,42,Young Average Spenders
Male,24,60,52,Young Average Spenders
Female,47,60,47,Mature Moderate Spenders
Female,27,60,50,Young Average Spenders
Male,48,61,42,Mature Moderate Spenders
Male,20,61,49,Young Average Spenders
Female,23,62,41,Young Average Spenders
Female,49,62,48,Mature Moderate Spenders
Male,67,62,59,Mature Moderate Spenders
Male,26,62,55,Young Average Spenders
Male,49,62,56,Mature Moderate Spenders
Female,21,62,42,Young Average Spenders
